taxi|Taksówka|Taxi, kurs, lotnisko, transfer
sports_coaching|Trening sportowy|Trener, piłka nożna, tenis, przygotowanie
it_training|Kursy komputerowe|Kurs komputerowy, Excel, programowanie
vocational_training|Szkolenia zawodowe|Kwalifikacje, certyfikat, kurs zawodowy
holiday_lettings|Wynajem wakacyjny|Apartament, domek, Airbnb, krótki termin
guesthouse_bnb|Pensjonat|Kwatery, pokoje, śniadanie, agroturystyka
property_management|Zarządzanie nieruchomościami|Zarządca, wspólnota, czynsz, administracja
veterinary|Weterynarz|Lecznica, szczepienie, pies, kot
dog_walking|Wyprowadzanie psów|Spacery, smycz, opieka nad psem
pet_grooming|Strzyżenie zwierząt|Groomer, salon dla psów, sierść
general_practice|Lekarz rodzinny|Lekarz, internista, przychodnia, recepta
dentistry|Stomatologia|Dentysta, gabinet, ortodonta, implant, proteza
physiotherapy|Fizjoterapia|Fizjoterapeuta, rehabilitacja, masaż leczniczy
psychology|Psychologia|Psycholog, psychoterapia, terapia, konsultacja
pharmacy|Apteka|Farmaceuta, leki, recepta, suplementy
optometry|Optyka|Optyk, okulary, soczewki, wzrok
medical_laboratory|Laboratorium medyczne|Badania, krew, analizy, diagnostyka
software_development|Tworzenie oprogramowania|Programista, developer, kod, software house
web_development|Tworzenie stron www|Strona internetowa, sklep internetowy, WordPress
it_support|Wsparcie IT|Helpdesk, administrator, komputer, drukarka, sieć, serwer
cybersecurity|Cyberbezpieczeństwo|Bezpieczeństwo IT, firewall, pentest, kopie zapasowe
data_ai|Dane i sztuczna inteligencja|Uczenie maszynowe, analiza danych, baza danych
cloud_hosting|Chmura i hosting|Serwer, hosting, domena, AWS, Azure
accounting|Księgowość|Księgowa, biuro rachunkowe, kadry i płace, faktury
audit_tax|Audyt i podatki|Biegły rewident, doradca podatkowy, deklaracja, VAT
legal_services|Usługi prawne|Adwokat, radca prawny, kancelaria, notariusz, umowa
hr_recruitment|Rekrutacja i HR|Rekruter, agencja pracy, headhunter, kandydaci
management_consulting|Doradztwo biznesowe|Konsultant, strategia, biznesplan
insurance_brokerage|Broker ubezpieczeniowy|Ubezpieczenia, polisa, szkoda, OC
real_estate_agency|Biuro nieruchomości|Pośrednik, mieszkanie, dom, działka
architecture|Architektura|Architekt, projekt, pozwolenie, rysunki
manufacturing|Produkcja przemysłowa|Fabryka, produkcja, przemysł, montaż
cnc_machining|Obróbka CNC|Frezowanie, toczenie, tokarka, obróbka
metalwork_welding|Ślusarstwo i spawanie|Spawacz, stal, brama, balustrada
restaurant|Restauracja|Bar, pizzeria, kuchnia, menu, jadłodajnia
catering|Catering|Bankiety, bufet, posiłki, imprezy
hotel|Hotel|Nocleg, hostel, motel, pokój, recepcja
event_management|Organizacja imprez|Eventy, wesela, konferencje, scena
agriculture|Rolnictwo|Gospodarstwo, traktor, żniwa, hodowla, pola
forestry|Leśnictwo|Wycinka, drewno, las, piła
waste_recycling|Odpady i recykling|Śmieci, złom, kontener, wywóz
renewable_energy|Energia odnawialna|Fotowoltaika, solar, wiatrak, falownik, pompa ciepła
marketing_agency|Agencja marketingowa|Reklama, SEO, social media, kampania
graphic_design|Grafika|Grafik, logo, plakat, katalog
photography|Fotografia|Fotograf, studio, ślub, aparat
video_production|Produkcja wideo|Filmowanie, montaż, dron, kamera
printing_signage|Drukarnia i reklama|Druk, baner, naklejki, szyld
wholesale|Handel hurtowy|Hurtownia, dystrybutor, magazyn, towar
ecommerce|Handel internetowy|Sklep internetowy, e-commerce, zamówienia, wysyłka
security_services|Usługi ochrony|Ochrona, agencja ochrony, alarm, kamery
hairdressing|Fryzjerstwo|Fryzjer, barber, strzyżenie, farbowanie
beauty_salon|Salon kosmetyczny|Kosmetyczka, paznokcie, rzęsy, makijaż
massage_therapy|Masaż|Masażysta, wellness, spa, relaks
fitness_training|Trening fitness|Trener personalny, siłownia, ciężary, rowerek
shop_general|Handel detaliczny|Sklep, kasa, sprzedaż, punkt
shop_bicycle|Sklep i serwis rowerowy|Rower, hulajnoga, łańcuch, koło
shop_auto_parts|Części samochodowe|Części, akcesoria, filtr, klocki, olej
shop_hardware|Sklep budowlany|Śruby, gwoździe, narzędzia, cement, market budowlany
shop_furniture|Sklep meblowy|Meble, kanapa, szafa, łóżko, kuchnia
shop_electronics|Elektronika i AGD|Telewizor, lodówka, pralka, telefon
shop_clothing|Sklep odzieżowy|Odzież, moda, buty, tekstylia
shop_grocery|Sklep spożywczy|Spożywczak, supermarket, chleb, mleko, warzywa
shop_sports|Sklep sportowy|Artykuły sportowe, buty sportowe, narty, namiot
shop_books|Księgarnia i papierniczy|Książki, zeszyty, długopisy, artykuły biurowe
shop_florist|Kwiaciarnia|Kwiaty, bukiet, róże, wieniec
shop_pet|Sklep zoologiczny|Karma, akcesoria, akwarium, klatka
motorcycle_repair|Serwis motocyklowy|Motocykl, skuter, motorower, kask, łańcuch
bar|Bar|Pub, knajpa, bar koktajlowy, ogródek
kebab_shawarma|Kebab i shawarma|Döner, dürüm, gyros, bułka
pizzeria|Pizzeria|Pizza, włoska, pizza na wynos
fast_food|Fast food|Burgery, frytki, przekąski
bakery|Piekarnia|Chleb, piekarz, bułki, wypieki
pastry_shop|Cukiernia|Ciasta, torty, słodycze, desery
coffee_shop|Kawiarnia|Kawa, espresso, barista, palarnia kawy
food_truck|Food truck|Street food, kuchnia mobilna, przyczepa
butcher|Sklep mięsny|Mięso, rzeźnik, wędliny
ice_cream|Lodziarnia|Lody, gelato, rożki
winery|Winnica|Wino, piwnica win, degustacja
brewery|Browar|Piwo, piwo rzemieślnicze, browar
nightclub|Klub nocny i dyskoteka|Dyskoteka, klub, dancing, DJ
beach_club|Bar na plaży i beach club|Plaża, leżaki, nadmorski, molo
bowling_billiards|Kręgle i bilard|Bowling, snooker, dart
travel_agency|Biuro podróży|Wycieczki, wakacje, loty, wczasy
nail_salon|Salon paznokci, manicure i pedicure|Paznokcie, manicure, pedicure, hybryda
barber|Barber shop|Fryzjer męski, broda, golenie
tattoo_piercing|Tatuaże i piercing|Tatuażysta, studio tatuażu, kolczyki
spa_sauna|Spa i sauna|Wellness, łaźnia parowa, hammam, termy
cosmetics_shop|Sklep kosmetyczny|Perfumeria, makijaż, pielęgnacja, uroda
dry_cleaning|Pralnia chemiczna i pralnia|Czyszczenie chemiczne, pranie, prasowanie
podiatry|Podologia i pielęgnacja stóp|Podolog, wrastający paznokieć, stopy
dental_laboratory|Pracownia protetyczna|Technik dentystyczny, protezy, korony
orthodontics|Ortodoncja|Aparat, nakładki, ortodonta
dermatology|Dermatologia|Dermatolog, skóra, znamiona, trądzik
paediatrics|Pediatria|Pediatra, lekarz dziecięcy
gynaecology|Ginekologia|Ginekolog, położnictwo, zdrowie kobiet
cardiology|Kardiologia|Kardiolog, serce, EKG
medical_imaging|Diagnostyka obrazowa|Radiologia, USG, rezonans, tomografia
speech_therapy|Logopedia|Logopeda, terapia mowy, jąkanie
nutrition_dietetics|Żywienie i dietetyka|Dietetyk, dieta, odchudzanie
bicycle_repair|Naprawa rowerów|Rower, przebita dętka, serwis rowerowy
scooter_repair|Naprawa skuterów i motorowerów|Skuter, motorower, Vespa, 50cc
appliance_repair|Naprawa AGD|Pralka, lodówka, piekarnik, sprzęt AGD
phone_repair|Naprawa telefonów i tabletów|Telefon, wymiana ekranu, iPhone, tablet
computer_repair|Naprawa komputerów|PC, laptop, odzyskiwanie danych
watch_jewellery_repair|Naprawa zegarków i biżuterii|Zegarmistrz, jubiler, bateria, pierścionek
shoe_repair|Szewc|Naprawa butów, obcasy, zelówki
tailoring_alterations|Krawiectwo i przeróbki|Krawiec, krawcowa, skracanie, przeróbki
upholstery|Tapicerstwo|Tapicer, kanapa, obicie, meble
glazing|Szklarstwo i okna|Szklarz, okna, szyby, szyby zespolone
chimney_sweep|Kominiarstwo|Kominiarz, komin, sadza
pest_control|Dezynsekcja i deratyzacja|Pluskwy, szczury, karaluchy, szkodniki
pool_maintenance|Obsługa basenów|Basen, czyszczenie basenu, chlor
window_cleaning|Mycie okien|Mycie szyb, okna, elewacja
car_wash|Myjnia samochodowa|Mycie auta, czyszczenie samochodu, detailing
car_rental|Wynajem samochodów|Rent a car, auto na wynajem
bike_scooter_rental|Wypożyczalnia rowerów i hulajnóg|Wypożycz rower, hulajnoga elektryczna
funeral_services|Usługi pogrzebowe|Zakład pogrzebowy, pogrzeb, kremacja, trumny
notary|Notariusz|
bailiff|Komornik|
patent_trademark|Patenty i znaki towarowe|
debt_collection|Windykacja|
company_formation|Zakładanie firm|
financial_advisory|Doradztwo finansowe|
payroll_services|Obsługa kadrowo-płacowa|
currency_exchange|Kantor wymiany walut|
pawnshop|Lombard|
leasing|Leasing i finansowanie|
hearing_aids|Aparaty słuchowe|
medical_transport|Transport medyczny|
rehabilitation|Ośrodek rehabilitacji|
occupational_therapy|Terapia zajęciowa|
midwifery|Położnictwo|
acupuncture|Akupunktura|
chiropractic|Chiropraktyka i osteopatia|
insulation|Izolacja termiczna|
waterproofing|Hydroizolacja|
plastering|Tynki i gładzie|
tiling|Układanie płytek|
drywall|Płyty gipsowe i ścianki działowe|
fencing|Ogrodzenia i bramy|
paving|Kostka brukowa i podjazdy|
well_drilling|Wiercenie studni|
septic_systems|Szamba i kanalizacja|
solar_panels|Montaż paneli słonecznych|
alarm_cctv|Alarmy i monitoring|
smart_home|Inteligentny dom|
lift_maintenance|Konserwacja wind|
fire_safety|Ochrona przeciwpożarowa|
car_dealer|Salon samochodowy|
vehicle_inspection|Przegląd techniczny|
auto_electrics|Elektryka samochodowa|
car_glass|Szyby samochodowe|
boat_repair|Naprawa łodzi|
bus_charter|Wynajem autokarów|
call_centre|Call center|
virtual_assistant|Wirtualna asystentka|
market_research|Badania rynku|
copywriting|Copywriting|
seo_services|SEO i reklama online|
social_media|Prowadzenie mediów społecznościowych|
app_development|Tworzenie aplikacji mobilnych|
game_development|Tworzenie gier|
drone_services|Usługi dronem|
printing_3d|Druk 3D|
interior_design|Projektowanie wnętrz|
dance_school|Szkoła tańca|
art_gallery|Galeria sztuki i oprawa obrazów|
